item_code,item_cat_l_id,item_cat_l_name,item_cat_m_id,item_cat_m_name,item_cat_s_id,item_cat_s_name,uom,tax_rate
IM000001,CL001,マーケティング,CM001,広告出稿,CS0001,広告出稿（標準プラン）,LOT,0.1
IM000002,CL001,マーケティング,CM001,広告出稿,CS0002,広告出稿（プレミアムプラン）,MONTH,0.1
IM000003,CL001,マーケティング,CM001,広告出稿,CS0003,広告出稿（スポット対応）,MONTH,0.1
IM000004,CL001,マーケティング,CM001,広告出稿,CS0004,広告出稿（月額サブスク）,MONTH,0.1
IM000005,CL001,マーケティング,CM001,広告出稿,CS0005,広告出稿（単発作業）,MONTH,0.1
IM000006,CL001,マーケティング,CM002,デジタル広告,CS0006,デジタル広告（標準プラン）,SET,0.1
IM000007,CL001,マーケティング,CM002,デジタル広告,CS0007,デジタル広告（プレミアムプラン）,HOUR,0.1
IM000008,CL001,マーケティング,CM002,デジタル広告,CS0008,デジタル広告（スポット対応）,MONTH,0.1
IM000009,CL001,マーケティング,CM002,デジタル広告,CS0009,デジタル広告（月額サブスク）,PACK,0.1
IM000010,CL001,マーケティング,CM002,デジタル広告,CS0010,デジタル広告（単発作業）,PACK,0.1
IM000011,CL001,マーケティング,CM003,クリエイティブ制作,CS0011,クリエイティブ制作（標準プラン）,SET,0.1
IM000012,CL001,マーケティング,CM003,クリエイティブ制作,CS0012,クリエイティブ制作（プレミアムプラン）,MONTH,0.1
IM000013,CL001,マーケティング,CM003,クリエイティブ制作,CS0013,クリエイティブ制作（スポット対応）,EA,0.1
IM000014,CL001,マーケティング,CM003,クリエイティブ制作,CS0014,クリエイティブ制作（月額サブスク）,HOUR,0.1
IM000015,CL001,マーケティング,CM003,クリエイティブ制作,CS0015,クリエイティブ制作（単発作業）,PACK,0.1
IM000016,CL001,マーケティング,CM004,SNS運用,CS0016,SNS運用（標準プラン）,HOUR,0.1
IM000017,CL001,マーケティング,CM004,SNS運用,CS0017,SNS運用（プレミアムプラン）,PACK,0.1
IM000018,CL001,マーケティング,CM004,SNS運用,CS0018,SNS運用（スポット対応）,PACK,0.1
IM000019,CL001,マーケティング,CM004,SNS運用,CS0019,SNS運用（月額サブスク）,SET,0.1
IM000020,CL001,マーケティング,CM004,SNS運用,CS0020,SNS運用（単発作業）,SET,0.1
IM000021,CL001,マーケティング,CM005,PR/広報,CS0021,PR/広報（標準プラン）,EA,0.1
IM000022,CL001,マーケティング,CM005,PR/広報,CS0022,PR/広報（プレミアムプラン）,SET,0.1
IM000023,CL001,マーケティング,CM005,PR/広報,CS0023,PR/広報（スポット対応）,MONTH,0.1
IM000024,CL001,マーケティング,CM005,PR/広報,CS0024,PR/広報（月額サブスク）,PACK,0.1
IM000025,CL001,マーケティング,CM005,PR/広報,CS0025,PR/広報（単発作業）,HOUR,0.1
IM000026,CL001,マーケティング,CM006,市場調査,CS0026,市場調査（標準プラン）,LOT,0.1
IM000027,CL001,マーケティング,CM006,市場調査,CS0027,市場調査（プレミアムプラン）,EA,0.1
IM000028,CL001,マーケティング,CM006,市場調査,CS0028,市場調査（スポット対応）,EA,0.1
IM000029,CL001,マーケティング,CM006,市場調査,CS0029,市場調査（月額サブスク）,MONTH,0.1
