po_number,po_line,posting_date,company_code,site_id,site_name,department_id,department_name,cost_center,supplier_child_id,supplier_child_name,supplier_parent_id,supplier_parent_name,supplier_grandparent_id,supplier_grandparent_name,item_code,item_cat_l_id,item_cat_l_name,item_cat_m_id,item_cat_m_name,item_cat_s_id,item_cat_s_name,uom,quantity,unit_price,net_amount,currency,payment_terms,buyer,contract_flag,purchasing_channel,tax_amount,gross_amount
PO20253000125,1,2025-02-08,JP01,S004,関西物流センター,D001,マーケティング,CC4001,SC015,ノヴァロジ21 Ltd.,SP015,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000120,CL003,ビジネスサービス,CM024,法務/士業,CS0120,法務/士業（単発作業）,EA,2.0,1670185.46,3340370.93,JPY,NET60,SUZUKI,0,Framework,334037.09,3674408.02
PO20253000391,1,2025-02-08,JP01,S003,関東物流センター,D009,SCM企画,CC5101,SC030,ユニオンサプライ56 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000037,CL001,マーケティング,CM008,SEO/コンテンツ,CS0037,SEO/コンテンツ（プレミアムプラン）,SET,10.0,1579617.76,15796177.64,JPY,NET30,SUZUKI,1,Spot,1579617.76,17375795.4
PO20253000132,1,2025-02-09,JP01,S005,名古屋拠点,D004,人事,CC2201,SC033,サミットコンサル78 合同会社,SP013,Business Services Holdings Japan K.K.,SGP003,Business Services Holdings,IM000040,CL001,マーケティング,CM008,SEO/コンテンツ,CS0040,SEO/コンテンツ（単発作業）,HOUR,160.0,195078.88,31212620.37,JPY,NET30,SATO,0,Spot,3121262.04,34333882.41
PO20253000427,1,2025-02-09,JP01,S003,関東物流センター,D008,総務,CC1001,SC049,フロンティアプロモ66 合同会社,SP009,Travel East Japan,SGP009,Travel & Events Network,IM000115,CL003,ビジネスサービス,CM023,研修/教育,CS0115,研修/教育（単発作業）,PACK,10.0,1497950.0,14979499.99,JPY,NET30,UEDA,0,eProc,1497950.0,16477449.99
PO20253000143,1,2025-02-12,JP01,S003,関東物流センター,D004,人事,CC2201,SC041,サミットコンサル78 Ltd.,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000060,CL002,リテールプロモ,CM012,POP/印刷,CS0060,POP/印刷（単発作業）,PACK,20.0,765796.64,15315932.79,JPY,NET45,SATO,0,Spot,1531593.28,16847526.07
PO20253000234,1,2025-02-12,JP01,S004,関西物流センター,D004,人事,CC2201,SC048,アクティブロジ9 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000114,CL003,ビジネスサービス,CM023,研修/教育,CS0114,研修/教育（月額サブスク）,EA,3.0,2186476.95,6559430.86,JPY,NET60,SUZUKI,1,Catalog,655943.09,7215373.95
PO20253000264,1,2025-02-12,JP01,S005,名古屋拠点,D004,人事,CC2201,SC013,ネクサスデジタル46 合同会社,SP013,Business Services Holdings Japan K.K.,SGP003,Business Services Holdings,IM000002,CL001,マーケティング,CM001,広告出稿,CS0002,広告出稿（プレミアムプラン）,MONTH,3.0,5542933.81,16628801.42,JPY,NET45,KOBAYASHI,1,Catalog,1662880.14,18291681.56
PO20253000290,1,2025-02-12,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC005,ユニオンプロモ49 株式会社,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000043,CL001,マーケティング,CM009,撮影/動画,CS0043,撮影/動画（スポット対応）,MONTH,6.0,6779608.19,40677649.15,JPY,NET45,SUZUKI,1,Spot,4067764.92,44745414.07
PO20253000458,1,2025-02-12,JP01,S005,名古屋拠点,D009,SCM企画,CC5101,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000040,CL001,マーケティング,CM008,SEO/コンテンツ,CS0040,SEO/コンテンツ（単発作業）,HOUR,160.0,133728.36,21396537.99,JPY,NET60,TANAKA,0,Spot,2139653.8,23536191.79
PO20253000345,1,2025-02-13,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC031,エコーマーケ93 K.K.,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000023,CL001,マーケティング,CM005,PR/広報,CS0023,PR/広報（スポット対応）,MONTH,1.0,4501313.56,4501313.56,JPY,NET30,TANAKA,0,Framework,450131.36,4951444.92
PO20253000430,1,2025-02-13,JP01,S001,本社（東京）,D001,マーケティング,CC4001,SC047,クレストロジ1 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000019,CL001,マーケティング,CM004,SNS運用,CS0019,SNS運用（月額サブスク）,SET,1.0,2225390.36,2225390.36,JPY,NET45,TANAKA,0,Catalog,222539.04,2447929.4
PO20253000060,1,2025-02-14,JP01,S003,関東物流センター,D001,マーケティング,CC4001,SC008,ブルームプロモ71 K.K.,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000130,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0130,翻訳/通訳（単発作業）,PACK,2.0,1581018.87,3162037.74,JPY,NET30,TANAKA,1,eProc,316203.77,3478241.51
PO20253000101,1,2025-02-14,JP01,S002,横浜オフィス,D005,情報システム,CC2001,SC007,アクティブBPO69 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000038,CL001,マーケティング,CM008,SEO/コンテンツ,CS0038,SEO/コンテンツ（スポット対応）,SET,50.0,1224593.39,61229669.5,JPY,NET60,SUZUKI,1,eProc,6122966.95,67352636.45
PO20253000423,1,2025-02-14,JP01,S005,名古屋拠点,D003,経理,CC2101,SC045,オリオンロジ9 K.K.,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000056,CL002,リテールプロモ,CM012,POP/印刷,CS0056,POP/印刷（標準プラン）,MONTH,1.0,4817613.99,4817613.99,JPY,NET60,KOBAYASHI,1,Framework,481761.4,5299375.39
PO20253000398,1,2025-02-15,JP01,S005,名古屋拠点,D006,物流,CC5001,SC034,ネクサスデジタル98 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000104,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0104,BPO/事務委託（月額サブスク）,MONTH,3.0,6780681.79,20342045.36,JPY,NET30,SUZUKI,1,Catalog,2034204.54,22376249.9
PO20253000140,1,2025-02-16,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC017,フロンティアマーケ30 株式会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000124,CL003,ビジネスサービス,CM025,会計/経理,CS0124,会計/経理（月額サブスク）,MONTH,1.0,4401763.57,4401763.57,JPY,NET30,UEDA,0,Framework,440176.36,4841939.93
